

Inorder traversal of the Parse Tree:

Node                      Token                     ID                        L-Child                   R-Child                  
148                       if_stmt                   (null)                    143                       NULL                     
149                       statement_list            (null)                    140                       148                      
150                       variable                  i                         NULL                      NULL                     
151                       INCREMENT                 (null)                    150                       NULL                     
152                       statement_list            (null)                    149                       151                      
153                       while_stmt                (null)                    123                       152                      
154                       statement_list            (null)                    120                       153                      
155                       variable                  l0_norm                   NULL                      NULL                     
156                       return_stmt               (null)                    155                       NULL                     
157                       statement_list            (null)                    154                       156                      
158                       tmp                       (null)                    102                       157                      
159                       function                  error_norm                94                        158                      
160                       function_list             (null)                    93                        159                      
161                       data_type                 double                    NULL                      NULL                     
162                       IDENTIFIER                dsoln                     NULL                      NULL                     
163                       param                     (null)                    161                       162                      
164                       data_type                 int                       NULL                      NULL                     
165                       variable                  s1                        NULL                      NULL                     
166                       param                     (null)                    164                       165                      
167                       data_type                 double                    NULL                      NULL                     
168                       IDENTIFIER                drhs                      NULL                      NULL                     
169                       param                     (null)                    167                       168                      
170                       data_type                 int                       NULL                      NULL                     
171                       variable                  rhs1                      NULL                      NULL                     
172                       param                     (null)                    170                       171                      
173                       data_type                 double                    NULL                      NULL                     
174                       IDENTIFIER                dres                      NULL                      NULL                     
175                       param                     (null)                    173                       174                      
176                       data_type                 int                       NULL                      NULL                     
177                       variable                  res1                      NULL                      NULL                     
178                       param                     (null)                    176                       177                      
179                       opt_param_list            (null)                    178                       NULL                     
180                       opt_param_list            (null)                    175                       179                      
181                       opt_param_list            (null)                    172                       180                      
182                       opt_param_list            (null)                    169                       181                      
183                       opt_param_list            (null)                    166                       182                      
184                       param_list                (null)                    163                       183                      
186                       variable                  i                         NULL                      NULL                     
187                       tmp                       (null)                    NULL                      NULL                     
188                       var_declaration           (null)                    186                       187                      
189                       ICONSTANT                 0                         NULL                      NULL                     
190                       IDENTIFIER                dres                      189                       NULL                     
191                       variable                  res1                      NULL                      NULL                     
